,price,name,brand,country_state,region,appellation,varietal,style,abv,taste,body,wine_adv_rating,customer_avg_rating,customer_total_ratings
4,329.99,"Cliff Lede Cabernet Poetry Stags Leap District, 2014",Cliff Lede,California,Napa Valley,Stags Leap District,Cabernet Sauvignon,Elegant,,"Blackberry, Cassis, Chocolate",Full-bodied,95,5,1
0,169.97,"Grgich Hills Cabernet Yountville Selection, 2012",Grgich Hills,California,Napa Valley,Yountville,Cabernet Sauvignon,,,,,94,,0
1,124.99,"Gundlach Bundschu Cabernet Sauvignon Reserve, 2016",Gundlach Bundschu,California,Sonoma County,,Cabernet Sauvignon,Elegant,,"Red Berry, Dark Fruit",Medium-bodied,92,5,2
2,169.99,"Hestan Vineyards Cabernet Napa Valley, 2014",Hestan Vineyards,California,Napa Valley,,Cabernet Sauvignon,Concentrated,14.8,"Blackberry, Black Currant, Smoke",,96,4,2
3,94.99,"Hunnicutt Cabernet Sauvignon Napa Valley, 2014",Hunnicutt,California,Napa Valley,,Cabernet Sauvignon,Oak,14.5,"Blackberry, Fruity",Full-bodied,90,4.5,13
4,89.99,"Immortal Estate Slope Cabernet Sauvignon, 2014",Immortal Estate,California,Sonoma County,,Cabernet Sauvignon,,,,,97,,0
0,219.99,"Merryvale Profile, 2012",Merryvale,California,Napa Valley,,Cabernet Sauvignon,Elegant,,"Cassis, Cocoa, Cedar",Full-bodied,92,5,2
1,129.99,"Moone Tsai Hillside Red Howell Mountain, 2015",Moone Tsai,California,Napa Valley,Howell Mountain,Cabernet Sauvignon,Intense,14.7,"Blackberry, Raspberry, Oak",Full-bodied,96,4.6,5
2,299.99,"Nickel & Nickel Cabernet State Ranch, 2016",Nickel & Nickel,California,Napa Valley,,Cabernet Sauvignon,,,,,95,4.7,9
3,46.99,"Otis Kenyon Cabernet Sauvignon Walla Walla, 2015",Otis Kenyon,Washington,Columbia Valley,Walla Walla,Cabernet Sauvignon,Concentrated,14.4,"Black Cherry, Fig",Full-bodied,90,4.3,10
4,349.97,"OVID Proprietary Red Wine, 2016",OVID,California,Napa Valley,,Cabernet Sauvignon,Intense,,"Raspberry, Spice",Medium-bodied,99,,0
0,139.99,"Patria Cabernet Sauvignon A. Price Vineyard, 2018",Patria,California,Napa Valley,St. Helena,Cabernet Sauvignon,Elegant,15.2,"Cranberry, Blackberry, Chocolate",Full-bodied,96,,0
1,49.99,"Paul Hobbs Crossbarn Cabernet Sauvignon Sonoma County, 2016",Paul Hobbs,California,Sonoma County,,Cabernet Sauvignon,Intense,13,"Black Raspberry, Black Cherry",Full-bodied,92,4,1
2,99.99,"Post Parade Cabernet Sauvignon, 2016",Post Parade,California,,,Cabernet Sauvignon,Concentrated,,"Blueberry, Cassis, Black Fruit",Full-bodied,92,5,1
